image,human,metric,Gemma3,JanusPro7B,Phi4,Qwen2_5_7B,SmolVLM,jyothi,prageetha
1.png,prageetha,Precision,0.2857142857142857,0.0,0.0,0.3333333333333333,0.2,0.4,
1.png,jyothi,Precision,0.42857142857142855,0.2857142857142857,0.5,0.5555555555555556,0.4,,1.0
1.png,prageetha,Recall,0.5,0.0,0.0,0.75,0.5,1.0,
1.png,jyothi,Recall,0.3,0.2,0.1,0.5,0.4,,0.4
1.png,prageetha,F1,0.36363636363636365,0.0,0.0,0.46153846153846156,0.28571428571428575,0.5714285714285715,
1.png,jyothi,F1,0.3529411764705882,0.23529411764705882,0.16666666666666669,0.5263157894736842,0.4000000000000001,,0.5714285714285715
10.png,prageetha,Precision,0.25,0.1,0.5,0.2,0.2857142857142857,1.0,
10.png,jyothi,Precision,0.25,0.1,0.5,0.2,0.2857142857142857,,1.0
10.png,prageetha,Recall,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,
10.png,jyothi,Recall,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,,1.0
10.png,prageetha,F1,0.36363636363636365,0.15384615384615383,0.4,0.30769230769230765,0.4,1.0,
10.png,jyothi,F1,0.36363636363636365,0.15384615384615383,0.4,0.30769230769230765,0.4,,1.0
11.png,prageetha,Precision,0.0,0.0,0.0,0.0,0.0,0.0,
11.png,jyothi,Precision,0.0,0.0,0.0,0.0,0.0,,0.0
11.png,prageetha,Recall,0.0,0.0,0.0,0.0,0.0,0.0,
11.png,jyothi,Recall,0.0,0.0,0.0,0.0,0.0,,0.0
11.png,prageetha,F1,0.0,0.0,0.0,0.0,0.0,0.0,
11.png,jyothi,F1,0.0,0.0,0.0,0.0,0.0,,0.0
12.png,prageetha,Precision,0.25,0.2,1.0,0.25,0.5,0.5,
12.png,jyothi,Precision,0.5,0.4,1.0,0.25,1.0,,1.0
12.png,prageetha,Recall,1.0,1.0,1.0,1.0,1.0,1.0,
12.png,jyothi,Recall,1.0,1.0,0.5,0.5,1.0,,0.5
12.png,prageetha,F1,0.4,0.33333333333333337,1.0,0.4,0.6666666666666666,0.6666666666666666,
12.png,jyothi,F1,0.6666666666666666,0.5714285714285715,0.6666666666666666,0.3333333333333333,1.0,,0.6666666666666666
13.png,prageetha,Precision,0.25,0.09090909090909091,0.0,0.2,0.5,0.3333333333333333,
13.png,jyothi,Precision,0.25,0.18181818181818182,0.0,0.2,0.5,,1.0
13.png,prageetha,Recall,1.0,1.0,0.0,1.0,1.0,1.0,
13.png,jyothi,Recall,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,,0.3333333333333333
13.png,prageetha,F1,0.4,0.16666666666666669,0.0,0.33333333333333337,0.6666666666666666,0.5,
13.png,jyothi,F1,0.28571428571428575,0.28571428571428575,0.0,0.25,0.4,,0.5
14.png,prageetha,Precision,0.16666666666666666,0.4,0.0,0.25,0.5,1.0,
14.png,jyothi,Precision,0.16666666666666666,0.4,0.0,0.25,0.5,,1.0
14.png,prageetha,Recall,0.5,1.0,0.0,0.5,0.5,1.0,
14.png,jyothi,Recall,0.5,1.0,0.0,0.5,0.5,,1.0
14.png,prageetha,F1,0.25,0.5714285714285715,0.0,0.3333333333333333,0.5,1.0,
14.png,jyothi,F1,0.25,0.5714285714285715,0.0,0.3333333333333333,0.5,,1.0
15.png,prageetha,Precision,0.0,0.25,0.0,0.125,0.0,0.8,
15.png,jyothi,Precision,0.0,0.25,0.0,0.125,0.0,,1.0
15.png,prageetha,Recall,0.0,0.75,0.0,0.25,0.0,1.0,
15.png,jyothi,Recall,0.0,0.6,0.0,0.2,0.0,,0.8
15.png,prageetha,F1,0.0,0.375,0.0,0.16666666666666666,0.0,0.888888888888889,
15.png,jyothi,F1,0.0,0.35294117647058826,0.0,0.15384615384615385,0.0,,0.888888888888889
2.png,prageetha,Precision,0.3333333333333333,0.18181818181818182,0.0,0.5,0.4,0.5,
2.png,jyothi,Precision,0.3333333333333333,0.18181818181818182,0.5,0.5,0.4,,0.6666666666666666
2.png,prageetha,Recall,0.6666666666666666,0.6666666666666666,0.0,1.0,0.6666666666666666,0.6666666666666666,
2.png,jyothi,Recall,0.5,0.5,0.25,0.75,0.5,,0.5
2.png,prageetha,F1,0.4444444444444444,0.28571428571428575,0.0,0.6666666666666666,0.5,0.5714285714285715,
2.png,jyothi,F1,0.4,0.26666666666666666,0.3333333333333333,0.6,0.4444444444444445,,0.5714285714285715
3.png,prageetha,Precision,0.3333333333333333,0.2,0.0,0.25,0.2222222222222222,0.25,
3.png,jyothi,Precision,0.16666666666666666,0.3,0.0,0.125,0.3333333333333333,,0.25
3.png,prageetha,Recall,0.5,0.5,0.0,0.5,0.5,0.25,
3.png,jyothi,Recall,0.25,0.75,0.0,0.25,0.75,,0.25
3.png,prageetha,F1,0.4,0.28571428571428575,0.0,0.3333333333333333,0.30769230769230765,0.25,
3.png,jyothi,F1,0.2,0.4285714285714285,0.0,0.16666666666666666,0.46153846153846156,,0.25
4.png,prageetha,Precision,0.2222222222222222,0.2,1.0,0.4,0.6666666666666666,0.4,
4.png,jyothi,Precision,0.3333333333333333,0.4,1.0,0.8,1.0,,0.5
