image,human,metric,Gemma3,JanusPro7B,Phi4,Qwen2_5_7B,SmolVLM,jyothi,prageetha
4.png,prageetha,Recall,0.5,0.5,0.25,0.5,0.5,0.5,
4.png,jyothi,Recall,0.6,0.8,0.2,0.8,0.6,,0.4
4.png,prageetha,F1,0.30769230769230765,0.28571428571428575,0.4,0.4444444444444445,0.5714285714285715,0.4444444444444445,
4.png,jyothi,F1,0.42857142857142855,0.5333333333333333,0.33333333333333337,0.8000000000000002,0.7499999999999999,,0.4444444444444445
5.png,prageetha,Precision,0.2,0.2,0.0,0.25,0.0,0.0,
5.png,jyothi,Precision,0.0,0.2,0.0,0.0,0.0,,0.0
5.png,prageetha,Recall,1.0,1.0,0.0,1.0,0.0,0.0,
5.png,jyothi,Recall,0.0,1.0,0.0,0.0,0.0,,0.0
5.png,prageetha,F1,0.33333333333333337,0.33333333333333337,0.0,0.4,0.0,0.0,
5.png,jyothi,F1,0.0,0.33333333333333337,0.0,0.0,0.0,,0.0
6.png,prageetha,Precision,0.16666666666666666,0.0,0.5,0.0,0.0,0.0,
6.png,jyothi,Precision,0.3333333333333333,0.3333333333333333,0.0,0.2857142857142857,0.2,,0.0
6.png,prageetha,Recall,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,
6.png,jyothi,Recall,1.0,1.0,0.0,1.0,0.5,,0.0
6.png,prageetha,F1,0.2222222222222222,0.0,0.4,0.0,0.0,0.0,
6.png,jyothi,F1,0.5,0.5,0.0,0.4444444444444445,0.28571428571428575,,0.0
7.png,prageetha,Precision,0.14285714285714285,0.07692307692307693,1.0,0.16666666666666666,0.16666666666666666,0.5,
7.png,jyothi,Precision,0.2857142857142857,0.15384615384615385,1.0,0.3333333333333333,0.3333333333333333,,1.0
7.png,prageetha,Recall,0.5,0.5,0.5,0.5,0.5,1.0,
7.png,jyothi,Recall,0.5,0.5,0.25,0.5,0.5,,0.5
7.png,prageetha,F1,0.22222222222222224,0.13333333333333336,0.6666666666666666,0.25,0.25,0.6666666666666666,
7.png,jyothi,F1,0.36363636363636365,0.23529411764705882,0.4,0.4,0.4,,0.6666666666666666
8.png,prageetha,Precision,0.1111111111111111,0.09090909090909091,0.5,0.16666666666666666,0.2,0.6666666666666666,
8.png,jyothi,Precision,0.2222222222222222,0.18181818181818182,0.5,0.3333333333333333,0.4,,1.0
8.png,prageetha,Recall,0.5,0.5,0.5,0.5,0.5,1.0,
8.png,jyothi,Recall,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,,0.6666666666666666
8.png,prageetha,F1,0.1818181818181818,0.15384615384615385,0.5,0.25,0.28571428571428575,0.8,
8.png,jyothi,F1,0.3333333333333333,0.28571428571428575,0.4,0.4444444444444444,0.5,,0.8
9.png,prageetha,Precision,0.125,0.14285714285714285,0.0,0.2,0.5,1.0,
9.png,jyothi,Precision,0.125,0.14285714285714285,0.0,0.2,0.5,,1.0
9.png,prageetha,Recall,0.5,0.5,0.0,0.5,1.0,1.0,
9.png,jyothi,Recall,0.5,0.5,0.0,0.5,1.0,,1.0
9.png,prageetha,F1,0.2,0.22222222222222224,0.0,0.28571428571428575,0.6666666666666666,1.0,
9.png,jyothi,F1,0.2,0.22222222222222224,0.0,0.28571428571428575,0.6666666666666666,,1.0
