image,human,metric,Gemma3,JanusPro7B,Phi4,Qwen2_5_7B,SmolVLM,jyothi,prageetha
12.png,prageetha,F1,0.0,0.0,0.0,0.0,0.0,0.5,
12.png,jyothi,F1,0.0,0.0,0.0,0.3333333333333333,0.0,,0.5
13.png,prageetha,Precision,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,
13.png,jyothi,Precision,0.3333333333333333,0.0,0.0,0.0,0.0,,0.3333333333333333
13.png,prageetha,Recall,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,
13.png,jyothi,Recall,1.0,0.0,0.0,0.0,0.0,,1.0
13.png,prageetha,F1,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,
13.png,jyothi,F1,0.5,0.0,0.0,0.0,0.0,,0.5
14.png,prageetha,Precision,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,
14.png,jyothi,Precision,0.2,0.0,0.0,0.0,0.0,,0.6666666666666666
14.png,prageetha,Recall,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,
14.png,jyothi,Recall,0.3333333333333333,0.0,0.0,0.0,0.0,,0.6666666666666666
14.png,prageetha,F1,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,
14.png,jyothi,F1,0.25,0.0,0.0,0.0,0.0,,0.6666666666666666
15.png,prageetha,Precision,0.25,0.14285714285714285,0.5,0.16666666666666666,0.0,0.5,
15.png,jyothi,Precision,0.25,0.14285714285714285,0.0,0.16666666666666666,0.0,,0.5
15.png,prageetha,Recall,0.5,0.5,0.5,0.5,0.0,0.5,
15.png,jyothi,Recall,0.5,0.5,0.0,0.5,0.0,,0.5
15.png,prageetha,F1,0.3333333333333333,0.22222222222222224,0.5,0.25,0.0,0.5,
15.png,jyothi,F1,0.3333333333333333,0.22222222222222224,0.0,0.25,0.0,,0.5
2.png,prageetha,Precision,0.25,0.25,0.0,0.0,0.4,0.6666666666666666,
2.png,jyothi,Precision,0.25,0.25,0.0,0.0,0.4,,0.5
2.png,prageetha,Recall,0.25,0.25,0.0,0.0,0.5,0.5,
2.png,jyothi,Recall,0.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,,0.6666666666666666
2.png,prageetha,F1,0.25,0.25,0.0,0.0,0.4444444444444445,0.5714285714285715,
2.png,jyothi,F1,0.28571428571428575,0.28571428571428575,0.0,0.0,0.5,,0.5714285714285715
3.png,prageetha,Precision,0.2857142857142857,0.0,0.0,0.16666666666666666,0.0,0.75,
3.png,jyothi,Precision,0.2857142857142857,0.0,0.0,0.16666666666666666,0.0,,0.75
3.png,prageetha,Recall,0.5,0.0,0.0,0.25,0.0,0.75,
3.png,jyothi,Recall,0.5,0.0,0.0,0.25,0.0,,0.75
3.png,prageetha,F1,0.36363636363636365,0.0,0.0,0.2,0.0,0.75,
3.png,jyothi,F1,0.36363636363636365,0.0,0.0,0.2,0.0,,0.75
4.png,prageetha,Precision,0.2,0.08333333333333333,0.0,0.16666666666666666,0.0,0.6666666666666666,
4.png,jyothi,Precision,0.2,0.08333333333333333,0.0,0.16666666666666666,0.0,,1.0
4.png,prageetha,Recall,0.5,0.5,0.0,0.5,0.0,1.0,
4.png,jyothi,Recall,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,,0.6666666666666666
4.png,prageetha,F1,0.28571428571428575,0.14285714285714285,0.0,0.25,0.0,0.8,
4.png,jyothi,F1,0.25,0.13333333333333333,0.0,0.2222222222222222,0.0,,0.8
5.png,prageetha,Precision,0.25,0.0,0.0,0.3333333333333333,0.5,1.0,
5.png,jyothi,Precision,0.25,0.0,0.0,0.3333333333333333,0.5,,1.0
5.png,prageetha,Recall,0.5,0.0,0.0,0.5,0.5,1.0,
5.png,jyothi,Recall,0.5,0.0,0.0,0.5,0.5,,1.0
5.png,prageetha,F1,0.3333333333333333,0.0,0.0,0.4,0.5,1.0,
5.png,jyothi,F1,0.3333333333333333,0.0,0.0,0.4,0.5,,1.0
6.png,prageetha,Precision,0.2,0.0,0.0,0.125,0.2,1.0,
6.png,jyothi,Precision,0.2,0.0,0.0,0.125,0.2,,1.0
6.png,prageetha,Recall,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,
6.png,jyothi,Recall,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,,1.0
6.png,prageetha,F1,0.25,0.0,0.0,0.18181818181818182,0.25,1.0,
6.png,jyothi,F1,0.25,0.0,0.0,0.18181818181818182,0.25,,1.0
7.png,prageetha,Precision,0.2,0.09090909090909091,0.0,0.0,0.16666666666666666,1.0,
7.png,jyothi,Precision,0.2,0.09090909090909091,0.0,0.0,0.16666666666666666,,1.0
7.png,prageetha,Recall,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,
7.png,jyothi,Recall,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,,1.0
7.png,prageetha,F1,0.25,0.14285714285714288,0.0,0.0,0.2222222222222222,1.0,
7.png,jyothi,F1,0.25,0.14285714285714288,0.0,0.0,0.2222222222222222,,1.0
8.png,prageetha,Precision,0.25,0.0,0.0,0.0,0.2,0.75,
8.png,jyothi,Precision,0.25,0.0,0.0,0.0,0.2,,1.0
8.png,prageetha,Recall,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.0,
8.png,jyothi,Recall,0.25,0.0,0.0,0.0,0.25,,0.75
8.png,prageetha,F1,0.28571428571428575,0.0,0.0,0.0,0.25,0.8571428571428571,
8.png,jyothi,F1,0.25,0.0,0.0,0.0,0.22222222222222224,,0.8571428571428571
9.png,prageetha,Precision,0.25,0.2,0.0,0.2,0.25,0.75,
9.png,jyothi,Precision,0.25,0.2,0.0,0.2,0.5,,0.75
9.png,prageetha,Recall,0.25,0.25,0.0,0.25,0.25,0.75,
9.png,jyothi,Recall,0.25,0.25,0.0,0.25,0.5,,0.75
9.png,prageetha,F1,0.25,0.22222222222222224,0.0,0.22222222222222224,0.25,0.75,
9.png,jyothi,F1,0.25,0.22222222222222224,0.0,0.22222222222222224,0.5,,0.75
