image,human,metric,Gemma3,JanusPro7B,Phi4,Qwen2_5_7B,SmolVLM,jyothi,prageetha
1.png,prageetha,Precision,0.0,0.1,0.0,0.0,0.3333333333333333,0.5,
1.png,jyothi,Precision,0.0,0.1,0.0,0.0,0.3333333333333333,,0.6666666666666666
1.png,prageetha,Recall,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,
1.png,jyothi,Recall,0.0,0.25,0.0,0.0,0.5,,0.5
1.png,prageetha,F1,0.0,0.15384615384615383,0.0,0.0,0.4444444444444444,0.5714285714285715,
1.png,jyothi,F1,0.0,0.14285714285714288,0.0,0.0,0.4,,0.5714285714285715
10.png,prageetha,Precision,0.0,0.0,0.0,0.0,0.0,1.0,
10.png,jyothi,Precision,0.0,0.0,0.0,0.0,0.0,,1.0
10.png,prageetha,Recall,0.0,0.0,0.0,0.0,0.0,1.0,
10.png,jyothi,Recall,0.0,0.0,0.0,0.0,0.0,,1.0
10.png,prageetha,F1,0.0,0.0,0.0,0.0,0.0,1.0,
10.png,jyothi,F1,0.0,0.0,0.0,0.0,0.0,,1.0
11.png,prageetha,Precision,0.25,0.09090909090909091,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,
11.png,jyothi,Precision,0.25,0.0,0.0,0.0,0.3333333333333333,,0.6666666666666666
11.png,prageetha,Recall,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,
11.png,jyothi,Recall,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,,0.6666666666666666
11.png,prageetha,F1,0.28571428571428575,0.14285714285714288,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,
11.png,jyothi,F1,0.28571428571428575,0.0,0.0,0.0,0.3333333333333333,,0.6666666666666666
12.png,prageetha,Precision,0.0,0.0,0.0,0.0,0.0,0.5,
12.png,jyothi,Precision,0.0,0.0,0.0,0.25,0.0,,0.5
12.png,prageetha,Recall,0.0,0.0,0.0,0.0,0.0,0.5,
12.png,jyothi,Recall,0.0,0.0,0.0,0.5,0.0,,0.5
